2020.06.20 14:28:50.233 INFO  View.MyViewController - User generated new maze
2020.06.20 14:28:50.234 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
2020.06.20 14:28:50.306 INFO  View.MyViewController - User generated new maze
2020.06.20 14:29:08.100 INFO  Model.MyModel - Maze-Generating server stopped
2020.06.20 14:29:08.100 INFO  Model.MyModel - Solve-Maze server stopped
2020.06.20 14:37:36.993 INFO  Model.MyModel - Maze-Generating server started
2020.06.20 14:37:36.995 INFO  Model.MyModel - Solve-Maze server started
2020.06.20 14:37:37.727 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
2020.06.20 14:37:37.930 INFO  View.MyViewController - User generated new maze
2020.06.20 14:37:37.931 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
2020.06.20 14:37:37.988 INFO  View.MyViewController - User generated new maze
2020.06.20 14:38:04.355 INFO  Model.MyModel - Maze-Generating server stopped
2020.06.20 14:38:04.356 INFO  Model.MyModel - Solve-Maze server stopped
2020.06.20 14:44:08.417 INFO  Model.MyModel - Maze-Generating server started
2020.06.20 14:44:08.419 INFO  Model.MyModel - Solve-Maze server started
2020.06.20 14:44:09.467 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
2020.06.20 14:44:09.614 INFO  View.MyViewController - User generated new maze
2020.06.20 14:44:09.614 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
2020.06.20 14:44:09.677 INFO  View.MyViewController - User generated new maze
2020.06.20 14:44:18.708 INFO  Model.MyModel - Maze-Generating server stopped
2020.06.20 14:44:18.709 INFO  Model.MyModel - Solve-Maze server stopped
2020.06.20 14:44:35.973 INFO  Model.MyModel - Maze-Generating server started
2020.06.20 14:44:35.976 INFO  Model.MyModel - Solve-Maze server started
2020.06.20 14:44:36.918 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
2020.06.20 14:44:37.068 INFO  View.MyViewController - User generated new maze
2020.06.20 14:44:37.068 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
2020.06.20 14:44:37.134 INFO  View.MyViewController - User generated new maze
2020.06.20 14:44:42.956 INFO  Model.MyModel - Maze-Generating server stopped
2020.06.20 14:44:42.957 INFO  Model.MyModel - Solve-Maze server stopped
2020.06.20 14:45:25.357 INFO  Model.MyModel - Maze-Generating server started
2020.06.20 14:45:25.363 INFO  Model.MyModel - Solve-Maze server started
2020.06.20 14:45:26.448 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
2020.06.20 14:45:26.629 INFO  View.MyViewController - User generated new maze
2020.06.20 14:45:26.630 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
2020.06.20 14:45:26.720 INFO  View.MyViewController - User generated new maze
2020.06.20 14:46:00.835 INFO  Model.MyModel - Maze-Generating server stopped
2020.06.20 14:46:00.836 INFO  Model.MyModel - Solve-Maze server stopped
2020.06.20 14:49:10.236 INFO  Model.MyModel - Maze-Generating server started
2020.06.20 14:49:10.239 INFO  Model.MyModel - Solve-Maze server started
2020.06.20 14:49:11.180 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
2020.06.20 14:49:11.324 INFO  View.MyViewController - User generated new maze
2020.06.20 14:49:11.324 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
2020.06.20 14:49:11.392 INFO  View.MyViewController - User generated new maze
2020.06.20 14:49:19.506 INFO  Model.MyModel - Maze-Generating server stopped
2020.06.20 14:49:19.507 INFO  Model.MyModel - Solve-Maze server stopped
2020.06.20 14:51:14.510 INFO  Model.MyModel - Maze-Generating server started
2020.06.20 14:51:14.532 INFO  Model.MyModel - Solve-Maze server started
2020.06.20 14:51:15.580 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
2020.06.20 14:51:15.727 INFO  View.MyViewController - User generated new maze
2020.06.20 14:51:15.728 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
2020.06.20 14:51:15.795 INFO  View.MyViewController - User generated new maze
2020.06.20 14:51:26.165 INFO  Model.MyModel - Maze-Generating server stopped
2020.06.20 14:51:26.166 INFO  Model.MyModel - Solve-Maze server stopped
